-118.382,44.209,North Fork Malheur,NF,541.820.3800/541.575.3000, , ,5,4852,NR ,OR,,,,,
-123.938,44.102,North Fork Siuslaw,NF,541.563.3211/541.750.7000, , ,8, ,NR ,OR,11.5,NE,Florence,,
-121.764,43.731,North Twin Lake,NF,541.383.4000/541.383.5300, , ,20,4403,NH ND NS NR ,OR,18.9,N ,Crescent,,
-122.003,43.758,North Waldo,NF,541.782.2283/541.225.6300, , ,56,5499,NH DP 30ft NS NR ,OR,22.9,E,Oakridge,,
-121.568,45.367,Nottingham,NF,541.352.6002/503.668.1700, , ,23,3353,NH ND VT NW NS NR ,OR,,,Hood River,,
-124.039,42.518,Oak Flat /Gravel Bar,NF,541.247.3600/541.618.2200, , ,31, ,NR ,OR,3.1,SE,Agness,,
-121.77,45.114,Oak Fork,NF,503.622.3191/503.668.1700, , ,53,3373,NH ND 32ft NS RS ,OR,13.2,S ,Government Camp,,
-120.387,44.499,Ochoco Divide,NF,541.416.6449/541.416.6500,all year,dispersed,28,4734,NH ND VT NW NS NR N$ ,OR,26,NE,Prineville,,
-120.7,44.306,Ochoco Lake,SP,541.447.1209, , , ,3146,NH ND NS NR ,OR,6.7,E,Prineville,,
-121.963,43.551,Odell Creek, ,541.433.3200, , , ,4793,NH ,OR,5.4,N,Crescent Lake,,
-122.06,42.429,Odessa,NF,541.885.3406/541.947.2151, , ,6,4222,NH ND NS NR L$ ,OR,20,NW,Klamath Falls,,
-122.037,44.257,Olallie,NF,541.822.3381/541.225.6300, , ,17,2126,NH ND NS NR ,OR,,,,,
-121.773,44.86,Olallie Meadow,NF,503.630.6861/503.668.1700, , ,7,4498,NH ND 24ft NS RS PA L$ ,OR,,,,,
-118.596,44.784,Olive Lake,NF,541.427.3231/541.278.3716, , ,59,6076,NH ND NS NR ,OR,8.9,W,Granite,,
-116.875,45.152,Ollokot,NF,541.426.4978/541.523.6391, , ,13,4075,NH ND NS NR N$ ,OR,22.2,SE,Joseph,,
-124.054,42.864,Orchard Park,CP, , ,unknown facilities, , ,,OR,,,Powers,,
-118.34,44.547,Oregon,NF,541.446.3351/541.523.6391, , ,12,5016,NR ,OR,10.5,NW,Unity,,
-118.727,44.974,Oriental,NF,541.427.3231/541.278.3716, , ,9,3261,NH ND NS NR ,OR,10.8,E,Dale,,
-123.96,45.77,Oswald West State Park,SP,503.368.5154, ,CLOSED to camping - tree problems, , ,NH ND NS NR ,OR,3.2,S ,Arch Cape,,
-122.29,45.497,Oxbow Regional Park,CP,503.797.1850, , , , ,NH ND DW SH ,OR,6.8,E,Gresham,,
-122.431,43.67,Packard Creek,NF,541.782.2283/541.225.6300, , ,52, ,NH ND 28ft NS NR ,OR,5.5,S ,Oakridge,,
-118.866,42.801,Page Springs,BLM,541.573.4400, , , ,4295,NH ND 24ft NS NR ,OR,3.1,SE,Frenchglen,,
-122.092,44.185,Paradise,NF,541.822.3381/541.225.6300,mid may-mid oct, ,64,1627,NH ND NS RS PA ,OR,3.6,E,McKenzie Bridge,,
-118.766,44.178,Parish Cabin,NF,/541.575.3000, , ,21,4934,NH ND NS NR ,OR,10.6,E,Seneca,,
-122.323,42.601,Parker Meadows,NF,541.865.2700/541.618.2200, , ,10,5066,NR ,OR,,,,,
-123.211,43.723,Pass Creek County Park,CP,541.957.7001, , ,30,2733,WES DP DW SH ,OR,0.1,E,Curtin,,
-121.792,44.813,Paul Dennis (Olallie),NF,503.630.6861/503.668.1700, , ,17,5003,NH ND NS NR ,OR,18.4,E,Detroit,,
-121.274,43.712,Paulina Lake,NF,541.383.4000/541.383.5300,mid may-late sep, ,69,6348,NH ND 30ft NS RS ,OR,11.8,E,La Pine,,
-121.236,44.685,Pelton Park,UTIL,541.475.0517, , , ,1677,,OR,6.3,NW,Madras,,
-119.533,43.94,Pendleton Springs Camp,NF,541.573.4300/541.575.3000, , ,10,6237,NR ,OR,,,,,
-121.785,44.8,Peninsula (Olallie),NF,503.630.6861/503.668.1700, , ,43,5007,NH ND NS NR ,OR,18.5,E,Detroit,,
-119.317,45.116,Penland Lake,NF,541.676.9187/541.278.3716, , ,17,4941,NH ND NS NR N$ ,OR,20.1,SE,Heppner,,
-121.451,44.584,Perry South,NF,541.549.7700/541.383.5300,early jun-mid sep, ,63,2057,NH ND NS RS PA ,OR,12.4,W,Culver,,
-123.368,44.536,Philomath Frolic and Rodeo Grounds,CP,541.929.2611, , , , ,E NS ,OR,0.3,S ,Philomath,,
-120.933,42.698,Pikes Crossing,NF, , , ,6,5663,NH ND PT NS NR ,OR,19.7,W,Paisley,,
-123.056,43.7,Pine Meadows- Cottage Grove Lake,COE,541.942.8657,mid may-mid sep, , , ,NH DP 45ft DW SH RS PA ,OR,6.7,S ,Cottage Grove,,
-120.943,43.791,Pine Mountain,NF,541.383.4000/541.383.5300, , ,6,6250,NH ND NS NR ,OR,26.1,SE,Bend,,
-121.801,45.113,Pine Point,NF,503.622.3191/503.668.1700,mid may-late aug, ,59,3274,NH ND NS RS ,OR,13.4,S ,Government Camp,,
-121.638,44.482,Pine Rest,NF,541.549.7700/541.383.5300, , ,8,2956,NH ND NS NR ,OR,13.9,N ,Sisters,,
-121.622,44.55,Pioneer Ford,NF,541.549.7700/541.383.5300, , ,20,2795,NH ND NS NR ,OR,18.3,N ,Sisters,,
-116.469,45.622,Pittsburgh Landing - Snake River,NF, , ,17 mile narrow steep gravel road,28, ,NH ND VT DW NS NR ,OR,12.6,SW,White Bird,,
-121.808,43.967,Point,NF,541.383.4000/541.383.5300, , ,9,4928,NH ND NS NR ,OR,25.3,W,Bend,,
-122.196,43.312,Poole Creek,NF,541.498.2531/541.957.3200,early jun-mid oct, ,80,4193,NH ND 35ft NS RS ,OR,9.7,N ,Diamond Lake,,
-121.896,45.668,Port Authority - Cascade Locks Marine Park,CP,541.374.8619, , ,15, ,WE DP FT DW SH RS ,OR,0.3,SW,Cascade Locks,,
-120.205,45.723,Port Of Arlington RV and Marina Park,CP,541.454.2868, , ,37, ,WE ,OR,0.5,NW,Arlington,,
-124.049,44.621,Port Of Newport Marina and RV Park,CP,541.867.3321, , ,143, ,E DW SH ,OR,1.1,S ,Newport,,
-124.106,43.967,Port Of Siuslaw RV Campground and Marina,CP, , , , , ,WES DP DW SH ,OR,1.1,S ,Florence,,
-123.82,45.418,Port of Tillamook RV Park,CP,503.842.7152�, , ,52, ,NH ND FT DW NS ,OR,,,Tillamook,,
-121.52,45.216,Post Camp,NF,541.467.2291/503.668.1700, , ,4,4600,NH ND 18ft NS NR N$ ,OR,25,SW,Dufur,,
-124.077,42.893,Powers County Park,CP,541.439.2791, , , , ,E DP DW SH L$ ,OR,0.7,N ,Powers,,
-121.425,43.724,Prairie,NF,541.383.4000/541.383.5300, , ,16,4314,NH ND NS NR ,OR,5.4,NE,La Pine,,
-123.065,43.696,Primitive - Cottage Grove Lake,COE,541.942.5631, ,unknown facilities, , ,NH ND NS NR ,OR,7,S ,Cottage Grove,,
-122.01,43.586,Princess Creek,NF,541.433.3200/541.383.5300, , ,58,4856,NH ND NS NR ,OR,7.8,N ,Crescent Lake,,
-121.606,43.747,Pringle Falls,NF,541.383.4000/541.383.5300, , ,7,4245,NH ND NS NR L$ ,OR,25.9,SW,Bend,,
-122.243,45.221,Promontory Park,UTIL,503.630.7229, , , , ,DW SH ,OR,6.5,SE,Estacada,,
-122.517,43.976,Puma,NF,541.782.2283/541.225.6300, , ,11, ,NH ND NS NR ,OR,13.8,E,Lowell,,
-119.968,45.812,Quesnel - John Day Dam,COE, , ,unknown facilities, , ,NH ND NS NR ,OR,13,NE,Arlington,,
-121.837,43.785,Quinn River,NF,541.383.4000/541.383.5300, , ,40,4475,NH ND 30ft NS NR ,OR,32.1,SW,Bend,,
-124.232,42.498,Quosatana,NF,541.247.3600/541.618.2200, , ,43, ,NH DP 30ft NS NR ,OR,11.5,NE,Gold Beach,,
-122.067,45.025,Raab,NF,503.630.6861/503.668.1700,mid may-late aug, ,27,1657,NH ND 24ft NS RS ,OR,22.5,SE,Estacada,,
-122.043,45.079,Rainbow,NF,503.630.6861/503.668.1700,mid may-late aug, ,17,1503,NH ND 24ft NS RS ,OR,20.3,SE,Estacada,,
-121.758,45.627,Rainy Lake,NF,541.352.6002/503.668.1700, , ,5,4019,NH ND NS NR L$ ,OR,10.7,NW,Parkdale,,
-118.257,45.324,Red Bridge State Park,SP,800.551.6949, ,walk to sites only,10,3087,NH ND NS NR ,OR,12.1,W,LaGrande,,
-124.143,42.156,Redwood Bar,NF,541.247.3600/541.618.2200, , ,54, ,NH ND NS NR L$ ,OR,10.3,NE,Chetco,,
-121.771,43.671,Reservoir,NF,541.383.4000/541.383.5300, , ,28,4357,NH NR ,OR,,,,,
-123.313,44.116,Richardson Park,CP,541.935.2005, , ,88, ,E DP DW SH ,OR,12.1,W,Eugene,,
-122.041,45.08,Ripplebrook,NF,503.630.6861/503.668.1700,mid may-late aug, ,13,1509,NH ND NS RS ,OR,20.3,SE,Estacada,,
-122.569,44.407,River Bend County Park,CP, , ,swimming hole,45, ,E DP DW SH ,OR,5.1,E,Foster,,
-122.493,42.822,River Bridge,NF,541.865.2700/541.618.2200, , ,15,2890,NH ND NS NR ,OR,4.7,N ,Prospect,,
-122.057,45.033,Riverford,NF,503.630.6861/503.668.1700, , ,10,1568,NH ND 16ft NS NR ,OR,22.3,SE,Estacada,,
-121.634,44.443,Riverside,NF,541.549.7700/541.383.5300, , ,16,3041,NH ND NS NR ,OR,11.3,N ,Sisters,,
-121.944,44.642,Riverside - Detroit,NF,503.854.3366/541.225.6300, , ,37,2438,NH ND 24ft NS NR ,OR,31.1,NW,Sisters,,
-122.061,45.043,Riverside - Estacada,NF,503.630.6861/503.668.1700,mid may-late aug, ,16,1673,NH ND NS RS ,OR,21.6,SE,Estacada,,
-122.113,45.158,Roaring River,NF,503.630.6861/503.668.1700,mid may-late aug, ,19, ,NH ND NS RS ,OR,14.1,SE,Estacada,,
-124.059,42.708,Rock Creek,NF,541.439.6200/541.618.2200, , ,7, ,NR ,OR,10.5,N,Agness,,
-122.928,43.398,Rock Creek - Idlewyld,BLM, , , , , ,NH ND NS NR L$ ,OR,24.3,NE,Roseburg,,
-121.832,43.767,Rock Creek - La Pine,NF,541.383.4000/541.383.5300, , ,33,4478,NH ND 30ft NS NR ,OR,22.1,N ,Crescent,,
-124.11,44.186,Rock Creek - Yachats,NF,541.563.3211/541.750.7000,mid may-mid sep, ,16, ,NH ND NS RS ,OR,8.7,S ,Yachats,,
-121.382,45.222,Rock Creek Reservoir,NF,541.467.2291/503.668.1700,mid may-late sep, ,33,2238,NH ND 18ft NS RS ,OR,20.1,SW,Dufur,,
-118.841,43.998,Rock Springs,NF,541.573.4300/541.575.3000, , ,14,5308,NH ND NS NR ,OR,30.4,N,Burns,,
-123.605,45.24,Rocky Bend,NF,503.392.5117/541.750.7000, , ,6, ,NH ND NS NR ,OR,11.1,E,Beaver,,
-122.753,42.663,Rogue Elk County Park,CP,541.774.8183, , ,15, ,E DP DW SH ,OR,3.1,E,Trail,,
-124.062,43.406,Rooke - Higgins County Park,CP, , , ,30, ,NH PT NS ,OR,2.1,SW,Allegany,,
-121.969,44.876,Round Lake,NF,503.630.6861/503.668.1700, , ,6,3714,NH ND NS NR N$ ,OR,,,,,
-121.783,44.442,Round Lake,NF,541.549.7700/541.383.5300, , ,6,4337,NH ND NS NR N$ ,OR,15.6,NW,Sisters,,
-121.58,45.45,Routson,CP,541.387.6888, , , ,2500,,OR,6.1,S ,Mt.Hood Parkdale,,
-122.742,43.706,Rujada,NF,541.767.5000/541.957.3200, , ,20, ,NH ND 22ft NS NR ,OR,17,E,Cottage Grove,,
-122.328,43.496,Sacandaga,NF,541.782.2283/541.225.6300, , ,21,2556,NH ND NS NR ,OR,18.5,S ,Oakridge,,
-116.723,45.4,Saddle Creek,NF,541.426.4978/541.523.6391, ,RVs not recommended,7,6562,NH ND NS NR N$ ,OR,27,E,Enterprise,,
-123.692,45.962,Saddle Mountain State Park,SP,800.551.6949,all year,RVs must park in lot - primitive tent sites only,10,1581,NH ND NS RS ,OR,5.2,NE,Necanicum Junction,,
-122.373,43.763,Salmon Creek Falls,NF,541.782.2283/541.225.6300, , ,17,1581,NH ND NS NR ,OR,4.6,E,Oakridge,,
-123.687,44.343,Salmonberry County Park Campground,CP,541.757.6871, , ,20, ,NH ND DW SH ,OR,25.9,SW,Corvallis,,
-123.686,42.442,Sam Brown,NF,541.471.6500/541.618.2200, , ,35,2037,NH ND 35ft SH NR ,OR,14.5,W,Merlin,,
-123.958,45.287,Sand Beach,NF,503.392.5117/541.750.7000, ,OHV - very noisy ,101, ,NH DP 30ft NS RS ,OR,5.8,N,Pacific City,,
-122.451,43.601,Sand Prairie,NF,541.782.2283/541.225.6300, , ,33,1611,NH ND NS NR L$ ,OR,10,S ,Oakridge,,
-119.12,45.922,Sand Station,COE,541.922.2268,all year, ,20, ,NH ND NS NR N$ ,OR,10.7,E,Umatilla,,
-120.879,42.595,Sandhill Crossing,NF,541.943.4401/541.947.2151, , ,8,6125,NH ND NS NR ,OR,18.2,W,Paisley,,
-122.115,44.712,Santiam Flats,NF,503.854.3366/541.225.6300, , ,32,1591,NH ND NS NR L$ ,OR,2.3,SE,Detroit,,
-123.097,45.847,Scaponia County Park,CP,503.397.2353, ,no RVs,10, ,NH ND VT NW NS NR ,OR,4.7,E,Vernonia,,
-122.76,43.38,Scaredman,BLM, , , , , ,NH ND NS NR ,OR,31.3,E,Roseburg,,
-123.375,42.435,Schroeder County Park,CP,541.474.5285, , ,50, ,WES DW SH ,OR,2.4,W,Grants Pass,,
-122.956,43.785,Schwarz,COE,541.942.1418,mid apr-mid sep, , , ,NH DP DW SH RS PA ,OR,5.3,E,Cottage Grove,,
-121.923,42.886,Scott Creek,NF,541.365.7001/541.947.2151, , ,6,4757,NR ,OR,21.5,N ,Chiloquin,,
-121.888,44.212,Scott Lake,NF,541.822.3381/541.225.6300, , ,10,4833,NH ND NS NR ,OR,17.6,W,Sisters,,
-121.749,44.411,Scout Lake,NF,541.549.7700/541.383.5300,early jun-mid sep, ,25,3727,NH ND NS RS PA ,OR,12.9,NW,Sisters,,
-122.441,43.515,Secret,NF,541.782.2283/541.225.6300, , ,6,1965,NH ND NS NR L$ ,OR,16,S ,Oakridge,,
-123.688,42.422,Secret Creek,NF,541.471.6500/541.618.2200, , ,9,2037,NH ND NS NR ,OR,11.2,SW,Galice,,
-120.001,44.793,Service Creek,BLM,503.808.6002, , ,6,1672,NH ND VT NW NS NR L$ ,OR,10.5,W,Spray,,
-116.516,45.347,Seven Devils,NF, , ,narrow steep gravel road - RVs not recommended,7,7546,NH ND NS NR ,OR,11,SW,Riggins,,
-122.042,43.693,Shadow Bay,NF,541.782.2283/541.225.6300,early jul-mid sep, ,106,5489,NH DP 24ft NS RS PA ,OR,21.3,E,Oakridge,,
-117.383,45.258,Shady,NF,541.426.4978/541.523.6391, , ,13,5545,NH ND NS NR ,OR,12.6,SW,Enterprise,,
-122.3,44.845,Shady Cove,NF,503.854.3366/541.225.6300, , ,15,1549,NH ND NS NR ,OR,10.7,NE,Mill City,,
-122.807,43.665,Sharps Creek,BLM,541. 683.6600, , , , ,NH NR ,OR,4.7,SE,Dorena,,
-121.784,43.73,Sheep Bridge,NF,541.383.4000/541.383.5300,early may-late sep, ,23,4367,NH ND NS RS ,OR,19,N ,Crescent,,
-121.921,45.085,Shellrock Creek,NF,503.630.6861/503.668.1700, , ,8,2385,NH ND 16ft NS NR ,OR,24.6,SE,Estacada,,
-120.092,44.896,Shelton Wayside,CP,541.763.2010, , ,40,3428,NH ND VT NS L$ ,OR,9.3,SE,Fossil,,
-120.718,45.478,Sherman County RV Park,CP,541.565.3127, , , ,1929,WES ,OR,0.8,SE,Moro,,
-121.569,45.395,Sherwood,NF,541.352.6002/503.668.1700, , ,26,3199,NH ND NS NR ,OR,21.6,S ,Hood River,,
-121.13,43.007,Silver Creek Marsh,NF,541.576.7501/541.947.2151, , ,24,4797,NH ND NS NR N$ ,OR,9.3,SW,Silver Lake,,
-122.651,44.866,Silver Falls State Park,SP,503.873.8681,all year, , , ,WES DP DW SH RS ,OR,19.5,E,Salem,,
-121.541,44.288,Sisters City Park,CP,541.549.6022, ,Great campground - Close to town and singletrack bike trail,60,3180,WES FT DW ,OR,0.4,SE,Sisters,,
-124.308,42.805,Sixes River,BLM, , ,unknown facilities, , ,ND NS NR ,OR,8.9,E,Sixes,,
-123.73,42.297,Sixmile Camp,NF,541.471.6500/541.618.2200, , ,10, ,NR ,OR,5.9,W,Selma,,
-122.045,43.861,Skookum Creek,NF,541.782.2283/541.225.6300, , ,8,4629,NH ND NS NR ,OR,23.6,E,Westfir,,
-121.065,44.397,Skull Hollow,NF,541.416.6448/541.416.6500, , ,29,2999,NH ND NS NR ,OR,6.4,NE,Terrebonne,,
-122.224,44.077,Slide Creek,NF,541.822.3381/541.225.6300, , ,24,1864,NH ND NS NR ,OR,7.8,SE,Blue River,,
-121.637,44.474,Smiling River,NF,541.549.7700/541.383.5300,early may-late sep, ,47,2972,NH ND NS RS ,OR,1,N,Camp Sherman,,
-123.818,43.788,Smith River Falls,BLM,541.756.0100, , ,8, ,NH NR ,OR,15.2,NE,Reedsport,,
-121.728,44.025,Soda Creek,NF,541.383.4000/541.383.5300, , ,10,5449,NH NR ,OR,20.6,W,Bend,,
-121.788,43.96,South (Hosmer Lake),NF,541.383.4000/541.383.5300, , ,23,4964,NH ND NS NR L$ ,OR,24.4,W,Bend,,
-124.064,44.604,SOUP,South Beach State Park,SP,541.867.4715,all year, , , ,WES DP DW SH RS PA ,OR,2.3,S ,New,port
-118.305,44.404,South Fork,NF,541.446.3351/541.523.6391, , ,14,4452,NH ND NS NR ,OR,6,SW,Unity,,
-124.132,42.187,South Fork Camps,NF,541.247.3600/541.618.2200, , ,10, ,NH ND NS NR ,OR,12.1,NE,Brookings,,
-123.72,45.202,South Lake,NF,503.392.5117/541.750.7000, , ,9,2379,NR ,OR,7.3,SE,Beaver,,
-121.823,43.614,South Lava Flow,NF,541.433.3200/541.383.5300, , ,16,4495,NR ,OR,12.3,NW,Crescent,,
-121.741,44.418,South Shore,NF,541.549.7700/541.383.5300,early jun-mid sep, ,38,3510,NH ND 30ft NS RS PA ,OR,12.9,NW,Sisters,,
-118.763,42.639,South Steens,BLM,541. 416.6700, ,equestrian - unknown facil, ,5240,NH ND NS NR L$ ,OR,26.6,SW,Princeton,,
-121.771,43.715,South Twin Lake,NF,541.383.4000/541.383.5300, , ,21,4360,NH ND 26ft NS NR ,OR,32.8,SW,Bend,,
-122.688,43.056,South Umpqua Falls,NF,541.825.3100/541.957.3200, , ,20,1709,NH ND 35ft NS NR ,OR,15.9,NE,Tiller,,
-122.176,44.705,Southshore,NF,503.854.3366/541.225.6300, , ,66,1703,NH ND NS NR ,OR,42.1,NW,Sisters,,
-118.081,44.676,Southwest Shore,NF,541.426.4476/541.523.6391, , ,16,4098,NH ND NS NR ,OR,13.9,SW,Baker City,,
-123.702,42.347,Spalding Pond,NF,541.471.6500/541.618.2200, , ,8,3373,NH ND NS NR ,OR,16.3,S ,Galice,,
-124.203,43.57,Spinreel,NF,541.563.3211/541.750.7000,all year, ,50, ,NH ND NS RS PA ,OR,11.3,N,North Bend,,
-118.394,45.203,Spool Cart,NF,541.963.7186/541.523.6391, , ,12,3602,NH ND NS NR ,OR,17.1,SW,La Grande,,
-119.792,44.823,Spray Riverfront Park,CP,541.763.2010, ,scenic little RV Park - primitive,8,1800,NH ND VT DW NS L$ ,OR,0.8,S ,Spray,,
-122.02,43.461,Spring,NF,541.433.3200/541.383.5300,mid may-late sep, ,81,4882,NH ND NS RS ,OR,16.3,W,Crescent,,
-121.533,45.125,Spring Drive RV (was Bear Springs),NF,541.467.2291/503.668.1700, ,self contained only - no tents,8,3127,WES ND NT DW NS RS ,OR,16.4,SE,Government Camp,,
-123.612,45.814,Spruce Run County Park,CP,503.325.9306, , ,30, ,NH ND NS ,OR,3.7,S ,Elsie,,
-123.022,42.035,Squaw Lakes,NF,/541.618.2200,early may-mid sep, ,37,3287,NH ND NS RS L$ ,OR,17,SE,Applegate,,
-124.005,42.731,Sru Lake,NF,541.439.6200/541.618.2200, , ,9,2283,NH ND NS NR ,OR,11.1,S ,Powers,,
-119.018,44.262,Starr,NF,/541.575.3000, , ,13,5167,NH NR ,OR,9.5,S ,Canyon City,,
-122.641,43.373,Steamboat Falls,NF,541.496.3532/541.957.3200, , ,12, ,NH ND NS NR ,OR,5.2,E,Steamboat,,
-117.218,44.367,Steck Park,BLM, , , ,25,2766,FT DW NR L$ ,OR,14.7,NW,Weiser,,
-118.32,44.4,Stevens Creek,NF,541.446.3351/541.523.6391, , ,9,4495,NH ND NS NR ,OR,6.8,W,Unity,,
-121.737,45.295,Still Creek,NF,503.622.3191/503.668.1700,early jun-mid sep, ,30,3911,NH ND 16ft NS RS ,OR,1.1,SE,Government Camp,,
-118.674,44.32,Strawberry,NF,541.820.3800/541.575.3000, , ,11,5700,NH ND NS NR ,OR,10.1,S ,Prairie City,,
-124.2,43.176,Sturdivant City Park,CP, , ,unknown facilities, , ,FT DW ,OR,0.6,W,Coquille,,
-117.133,43.467,Succor Creek State Natural Area,SP, , ,primitive  ,6,3730,NW NR ,OR,29.2,S ,Nyssa,,
-119.806,44.232,Sugar Creek,NF,541.477.6901/541.416.6500, , ,25,4035,NH ND NS NR ,OR,10.4,NE,Paulina,,
-120.762,42.952,Summer Lake State Wildlife Area,SP,541.943.3152,all year,very little info, ,4160,NR N$ ,OR,1.7,SE,Summer Lake,,
-121.79,45.033,Summit Lake,NF,503.622.3191/503.668.1700, , ,8,4219,NR ,OR,,,,,
-122.223,44.064,Sunnyside,NF,541.822.3381/541.225.6300, , ,13,1850,NH ND NS NR ,OR,8.5,SE,Blue River,,
-122.608,44.427,Sunnyside Park,CP,541.967.3917, , , , ,E DP DW SH ,OR,3.4,E,Foster,,
-122.205,42.371,Sunset,NF,541.885.3406/541.947.2151,mid may-late aug, ,97,5049,NH ND NS RS PA ,OR,23.9,NW,Klamath Falls,,
-124.372,43.334,Sunset Bay State Park,SP,541.888.4902,all year, , , ,WES DP DW SH RS ,OR,8.1,W,Coos Bay,,
-121.963,43.562,Sunset Cove,NF,541.433.3200/541.383.5300, , ,23,4849,NH ND NS NR ,OR,15.1,NW,Crescent,,
-124.31,42.713,Sunshine Bar,NF,541.439.6200/541.618.2200, , ,7, ,NH ND NS NR ,OR,16.8,SW,Powers,,
-122.106,45.152,Sunstrip,NF,503.630.6861/503.668.1700,mid may-late aug,Next to Clackamas River,9, ,NH ND 18ft NS RS N$ ,OR,14.6,SE,Estacada,,
-122.893,43.296,Susan Creek,BLM,541.440.4930, , , , ,NH ND 35ft DW NS NR ,OR,10.5,E,Glide,,
-124.108,44.054,Sutton,NF,541.563.3211/541.750.7000,all year, ,111, ,E ND NS RS PA ,OR,5,N ,Florence,,
-121.218,43.853,Swamp Wells,NF, , , ,5,5450,NH ND VT NW NS NR ,OR,15,S ,Bend,,
-124.149,43.796,Tahkenitch,NF,541.563.3211/541.750.7000,mid may-late sep, ,45, ,NH ND 30ft NS RS ,OR,7,N ,Reedsport,,
-124.147,43.8,Tahkenitch Landing,NF,541.563.3211/541.750.7000,mid may-late dec, ,36, ,NH ND NS RS ,OR,12.9,S ,Florence,,
-117.452,45.02,Tamarack,NF,541.742.7511/541.523.6391, , ,12,4508,NH ND NS NR ,OR,25.2,NE,Baker City,,
-118.076,45.805,Target Meadows,NF,509.522.6290/541.278.3716, , ,22,4813,NH ND NS NR ,OR,16.8,E,Weston,,
-122.035,43.815,Taylor Burn,NF,541.782.2283/541.225.6300, , ,9,5213,NH ND NS NR ,OR,21.8,E,Oakridge,,
-122.376,42.211,The Resort - Howard Prairie Lake,CP,541.774.8183,mid apr-mid oct, ,300,4548,E ND FT DW SH ,OR,17.1,E,Ashland,,
-117.788,45.025,Thief Valley Reservoir,CP,208.378.5021, ,very windy - unknown facilities, ,3145,,OR,17.5,N,Baker City,,
-122.166,43.167,Thielsen View,NF,541.498.2531/541.957.3200, , ,74,5187,NH DP 35ft NS NR ,OR,1.6,SW,Diamond Lake,,
-121.091,42.959,Thompson Reservoir,NF,541.576.7501/541.947.2151, , ,21,4951,NH ND NS NR ,OR,11.8,S ,Silver Lake,,
-122.888,42.966,Three C Rock,NF, , , ,5, ,NH ND VT NS NR ,OR,4.1,NE,Tiller,,
-121.624,44.095,Three Creek Lake,NF,541.549.7700/541.383.5300, , ,13,6588,NH ND NS NR ,OR,14,S ,Sisters,,
-121.624,44.112,Three Creek Meadow,NF,541.549.7700/541.383.5300, , ,20,6365,NH ND NS NR ,OR,12.9,S ,Sisters,,
-122.866,42.804,Threehorn,NF,541.825.3100/541.957.3200, , ,5,2743,NH ND 22ft NS NR ,OR,9.6,SE,Tiller,,
-123.803,45.421,Tillamook Air Museum,CP, , ,no info,9, ,WES ND FT DW NS ,OR,,,Tillamook,,
-124.091,44.366,Tillicum Beach,NF,541.563.3211/541.750.7000,all year, ,66, ,E DP NS RS PA ,OR,4.4,S ,Waldport,,
-121.648,45.399,Tilly Jane,NF,541.352.6002/503.668.1700, ,Tent Only,28,5719,NH ND NS NR ,OR,8.7,S ,Parkdale,,
-122.115,43.41,Timpanogas Lake,NF,541.782.2283/541.225.6300,early jul-late oct, ,10,5315,NH ND NS RS ,OR,29,SE,Oakridge,,
-123.618,42.511,Tin Can,NF, , , ,4, ,NH ND NS NR ,OR,4.2,S ,Galice,,
-123.125,42.036,Tipsu Tyee,NF,/541.618.2200, , ,5,2073,NR ,OR,20.8,SW,Jacksonville,,
-122.404,43.274,Toketee Lake,NF,541.498.2531/541.957.3200, , ,32,2480,NH ND 30ft NS NR ,OR,31.4,E,Idleyld Park,,
-121.571,45.515,Toll Bridge County Park,CP,541.352.5522, , , ,1690,E DP DW SH ,OR,13.4,S ,Hood River,,
-118.934,44.997,Tollbridge,NF,541.427.3231/541.278.3716, , ,7,2897,NR ,OR,21.3,NE,Long Creek,,
-121.897,45.662,Tollbridge,CP,541.387.6888, , , , ,NH ,OR,18,NW,Mt Hood,,
-121.905,45.323,Tollgate,NF,503.622.3191/503.668.1700,mid may-late aug, ,26,1824,NH ND NS RS ,OR,2.4,SE,Zigzag,,
-122.041,42.125,Topsy,BLM,541. 947.2177, ,unknown facilities, ,3940,NH ND NS NR ,OR,5.7,W,Keno,,
-122.047,44.281,Trail Bridge,NF,541.822.3381/541.225.6300, , ,46,2234,NH ND 32ft NS NR ,OR,9.3,NE,McKenzie Bridge,,
-122.046,43.584,Trapper Creek,NF,541.433.3200/541.383.5300,early jun-late sep, ,37,4846,NH ND NS RS ,OR,8.1,N ,Crescent Lake,,
-123.61,45.441,Trask River County Park,CP,503.842.4682, , ,63, ,NH DP VT DW NS L$ ,OR,11.4,E,Tillamook,,
-121.733,45.271,Trillium Lake,NF,503.622.3191/503.668.1700,mid may-late sep, ,61,3661,NH ND VT DW NS RS PA ,OR,2.5,SE,Government Camp,,
-121.926,44.385,Trout Creek,NF,541.367.5168/541.225.6300, , ,29,5269,NH ND NS NR ,OR,40,E,Sweet Home,,
-120.97,44.784,Trout Creek - Madras,BLM,541. 416.6700, , , ,1686,NH NR ,OR,13,NE,Madras,,
-118.552,44.305,Trout Farm,NF,541.820.3800/541.575.3000, , ,25,4892,NH ND NS NR ,OR,13.4,SE,Prairie City,,
-121.553,45.652,Tucker County Park,CP,541.386.4477, , , , ,E ND DW SH ,OR,4,S ,Hood River,,
-123.878,42.721,Tucker Flat,BLM,541.770.2200, , , , ,NH NR ,OR,14.9,NE,Agness,,
